0.40002,0.029888417,
0.40502,0.027613625,
0.41002,0.02721625,
0.41502,0.028034208,
0.42002,0.029578271,
0.42502,0.031532708,
0.43002,0.033577063,
0.43502,0.035412,
0.44002,0.036870938,
0.44502,0.038018563,
0.45002,0.038783771,
0.45502,0.03891775,
0.46002,0.038580667,
0.46502,0.037884521,
0.47002,0.036711833,
0.47502,0.035116458,
0.48002,0.033271354,
0.48502,0.031234813,
0.49002,0.029012792,
0.49502,0.026670646,
0.50002,0.024303563,
0.50502,0.021868167,
0.51002,0.019514542,
0.51502,0.017195729,
0.52002,0.015058979,
0.52502,0.013048542,
0.53002,0.011169229,
0.53502,0.009477771,
0.54002,0.007955854,
0.54502,0.006622917,
0.55002,0.00547575,
0.55502,0.004563313,
0.56002,0.003765292,
0.56502,0.003188104,
0.57002,0.002740646,
0.57502,0.002441271,
0.58002,0.002266521,
0.58502,0.002203542,
0.59002,0.002231813,
0.59502,0.002354396,
0.60002,0.002517938,
0.60502,0.002741958,
0.61002,0.003002646,
0.61502,0.003241167,
0.62002,0.003490167,
0.62502,0.003731583,
0.63002,0.003959396,
0.63502,0.004141375,
0.64002,0.004319125,
0.64502,0.004438208,
0.65002,0.004553771,
0.65502,0.004598938,
0.66002,0.004626083,
0.66502,0.004608208,
0.67002,0.004549396,
0.67502,0.004428292,
0.68002,0.004285896,
0.68502,0.004125104,
0.69002,0.003918271,
0.69502,0.003701896,
0.70002,0.003450479,
0.70502,0.003185354,
0.71002,0.002933646,
0.71502,0.002663417,
0.72002,0.002405208,
0.72502,0.002140021,
0.73002,0.001889813,
0.73502,0.001654625,
0.74002,0.001433792,
0.74502,0.001227813,
0.75002,0.001037188,
0.75502,0.000881813,
0.76002,0.000743458,
0.76502,0.000640458,
0.77002,0.000562708,
0.77502,0.00050325,
0.78002,0.000472313,
0.78502,0.000465729,
0.79002,0.000486354,
0.79502,0.000512292,
0.80002,0.000562146,
0.80502,0.000621604,
0.81002,0.000698604,
0.81502,0.00078875,
0.82002,0.000877063,
0.82502,0.000968,
0.83002,0.001059896,
0.83502,0.001158979,
0.84002,0.001237188,
0.84502,0.001324896,
0.85002,0.001398354,
0.85502,0.001449917,
0.86002,0.001494521,
0.86502,0.001548813,
0.87002,0.001553521,
0.87502,0.0015595,
0.88002,0.001558771,
0.88502,0.001535104,
0.89002,0.001518104,
0.89502,0.001470271,
0.90002,0.001410833,
0.90502,0.0013385,
0.91002,0.001279854,
0.91502,0.001191813,
0.92002,0.001115188,
0.92502,0.001019229,
0.93002,0.000940646,
0.93502,0.000850771,
0.94002,0.000761188,
0.94502,0.000675833,
0.95002,0.000602104,
0.95502,0.000529167,
0.96002,0.000465417,
0.96502,0.000404375,
0.97002,0.000351792,
0.97502,0.000312,
0.98002,0.000274104,
0.98502,0.000246875,
0.99002,0.000230729,
0.99502,0.000222479,
1.00002,0.000214479,
1.00502,0.000223313,
1.01002,0.000235458,
1.01502,0.000249083,
1.02002,0.000272958,
1.02502,0.000298646,
1.03002,0.000321542,
1.03502,0.000358875,
1.04002,0.000384792,
1.04502,0.000419042,
1.05002,0.000444021,
1.05502,0.000476521,
1.06002,0.000508375,
1.06502,0.000521708,
1.07002,0.000549875,
1.07502,0.000559875,
1.08002,0.000573938,
1.08502,0.000582813,
1.09002,0.000590208,
1.09502,0.000586375,
1.10002,0.00058,
1.10502,0.000577104,
1.11002,0.000558792,
1.11502,0.000542458,
1.12002,0.000522854,
1.12502,0.000501875,
1.13002,0.000476271,
1.13502,0.000452021,
1.14002,0.000419167,
1.14502,0.000398396,
1.15002,0.000366729,
1.15502,0.000335146,
1.16002,0.000305792,
1.16502,0.000281104,
1.17002,0.000249958,
1.17502,0.000230521,
1.18002,0.000206229,
1.18502,0.000189896,
1.19002,0.000167813,
1.19502,0.000144146,
1.20002,0.000134938,
1.20502,0.000121125,
1.21002,0.000112333,
1.21502,0.000106896,
1.22002,9.98E-05,
1.22502,9.64E-05,
1.23002,9.39E-05,
1.23502,9.37E-05,
1.24002,9.76E-05,
1.24502,0.000102458,
1.25002,0.000103188,
1.25502,0.000110896,
1.26002,0.000116667,
1.26502,0.000125021,
1.27002,0.000131271,
1.27502,0.000140021,
1.28002,0.000144521,
1.28502,0.000149896,
1.29002,0.000156958,
1.29502,0.000161167,
1.30002,0.000166917,
1.30502,0.000172125,
1.31002,0.000173896,
1.31502,0.00017725,
1.32002,0.000180917,
1.32502,0.000179021,
1.33002,0.000178063,
1.33502,0.000176688,
1.34002,0.000176354,
1.34502,0.000169208,
1.35002,0.000165667,
1.35502,0.000165771,
1.36002,0.000156188,
1.36502,0.000147438,
1.37002,0.000141396,
1.37502,0.000135771,
1.38002,0.000124063,
1.38502,0.000119479,
1.39002,0.000110479,
1.39502,0.000103083,
1.40002,9.42E-05,
1.40502,8.76E-05,
1.41002,8.08E-05,
1.41502,7.42E-05,
1.42002,6.67E-05,
1.42502,6.22E-05,
1.43002,5.53E-05,
1.43502,5.28E-05,
1.44002,4.53E-05,
1.44502,4.18E-05,
1.45002,3.85E-05,
1.45502,3.80E-05,
1.46002,3.35E-05,
1.46502,3.38E-05,
1.47002,3.19E-05,
1.47502,0.00003375,
1.48002,3.49E-05,
1.48502,3.55E-05,
1.49002,3.62E-05,
1.49502,3.75E-05,
1.50002,4.13E-05,
1.50502,4.27E-05,
1.51002,4.72E-05,
1.51502,4.87E-05,
1.52002,0.000050625,
1.52502,5.52E-05,
1.53002,5.47E-05,
1.53502,5.94E-05,
1.54002,6.28E-05,
1.54502,6.44E-05,
1.55002,6.57E-05,
1.55502,6.77E-05,
1.56002,7.04E-05,
1.56502,7.05E-05,
1.57002,6.89E-05,
1.57502,6.67E-05,
1.58002,6.86E-05,
1.58502,6.78E-05,
1.59002,0.000065875,
1.59502,6.22E-05,
1.60002,6.02E-05,
1.60502,5.70E-05,
1.61002,5.60E-05,
1.61502,5.36E-05,
1.62002,0.000049375,
1.62502,0.000045875,
1.63002,4.36E-05,
1.63502,3.81E-05,
1.64002,0.00003725,
1.64502,3.55E-05,
1.65002,3.06E-05,
1.65502,2.76E-05,
1.66002,2.54E-05,
1.66502,2.29E-05,
1.67002,2.24E-05,
1.67502,0.000019625,
1.68002,1.79E-05,
1.68502,1.66E-05,
1.69002,1.53E-05,
1.69502,1.51E-05,
1.70002,1.54E-05,
1.70502,1.42E-05,
1.71002,1.55E-05,
1.71502,1.55E-05,
1.72002,1.57E-05,
1.72502,1.70E-05,
1.73002,1.89E-05,
1.73502,1.89E-05,
1.74002,2.23E-05,
1.74502,2.33E-05,
1.75002,2.48E-05,
1.75502,2.79E-05,
1.76002,0.000027625,
1.76502,0.000030125,
1.77002,3.16E-05,
1.77502,3.21E-05,
