2E-05,219002769
0.00502,256821902
0.01002,272468067
0.01502,240526727
0.02002,177965512
0.02502,110110215
0.03002,60853586
0.03502,35176508
0.04002,20956680
0.04502,13821864
0.05002,11355506
0.05502,11441327
0.06002,12335636
0.06502,13321030
0.07002,14373293
0.07502,15411621
0.08002,16518755
0.08502,17629214
0.09002,18749288
0.09502,19821041
0.10002,20959172
0.10502,22065801
0.11002,23247493
0.11502,24316628
0.12002,25455370
0.12502,26535372
0.13002,27717120
0.13502,28807802
0.14002,29957892
0.14502,31122773
0.15002,32281693
0.15502,33320327
0.16002,34512043
0.16502,35604562
0.17002,36754671
0.17502,37803523
0.18002,38865978
0.18502,39975671
0.19002,41069099
0.19502,42028013
0.20002,43069291
0.20502,43943539
0.21002,44821750
0.21502,45269787
0.22002,45465450
0.22502,45271911
0.23002,44957546
0.23502,44342067
0.24002,43843093
0.24502,43316072
0.25002,43022344
0.25502,42709555
0.26002,42506453
0.26502,42296489
0.27002,42162080
0.27502,41716283
0.28002,41329044
0.28502,40662148
0.29002,39847121
0.29502,38840905
0.30002,37623159
0.30502,36197568
0.31002,34480502
0.31502,32493249
0.32002,30295617
0.32502,27873000
0.33002,25247296
0.33502,22532604
0.34002,19756301
0.34502,17006624
0.35002,14336823
0.35502,11844838
0.36002,9588744
0.36502,7621122
0.37002,5925069
0.37502,4544852
0.38002,3451893
0.38502,2634179
0.39002,2047543
0.39502,1662791
0.40002,1434644
0.40502,1325454
0.41002,1306380
0.41502,1345642
0.42002,1419757
0.42502,1513570
0.43002,1611699
0.43502,1699776
0.44002,1769805
0.44502,1824891
0.45002,1861621
0.45502,1868052
0.46002,1851872
0.46502,1818457
0.47002,1762168
0.47502,1685590
0.48002,1597025
0.48502,1499271
0.49002,1392614
0.49502,1280191
0.50002,1166571
0.50502,1049672
0.51002,936698
0.51502,825395
0.52002,722831
0.52502,626330
0.53002,536123
0.53502,454933
0.54002,381881
0.54502,317900
0.55002,262836
0.55502,219039
0.56002,180734
0.56502,153029
0.57002,131551
0.57502,117181
0.58002,108793
0.58502,105770
0.59002,107127
0.59502,113011
0.60002,120861
0.60502,131614
0.61002,144127
0.61502,155576
0.62002,167528
0.62502,179116
0.63002,190051
0.63502,198786
0.64002,207318
0.64502,213034
0.65002,218581
0.65502,220749
0.66002,222052
0.66502,221194
0.67002,218371
0.67502,212558
0.68002,205723
0.68502,198005
0.69002,188077
0.69502,177691
0.70002,165623
0.70502,152897
0.71002,140815
0.71502,127844
0.72002,115450
0.72502,102721
0.73002,90711
0.73502,79422
0.74002,68822
0.74502,58935
0.75002,49785
0.75502,42327
0.76002,35686
0.76502,30742
0.77002,27010
0.77502,24156
0.78002,22671
0.78502,22355
0.79002000000000006,23345
0.79502,24590
0.80002,26983
0.80502,29837
0.81002,33533
0.81502,37860
0.82002,42099
0.82502,46464
0.83002,50875
0.83502,55631
0.84002,59385
0.84502,63595
0.85002,67121
0.85502,69596
0.86002,71737
0.86502,74343
0.87002,74569
0.87502,74856
0.88002,74821
0.88502,73685
0.89002,72869
0.89502,70573
0.90002,67720
0.90502,64248
0.91002,61433
0.91502,57207
0.92002,53529
0.92502,48923
0.93002,45151
0.93502,40837
0.94002,36537
0.94502,32440
0.95002,28901
0.95502,25400
0.96002,22340
0.96502,19410
0.97002,16886
0.97502,14976
0.98002,13157
0.98502,11850
0.99002,11075
0.99502,10679
1.00002,10295
1.00502,10719
1.01002,11302
1.01502,11956
1.02002,13102
1.02502,14335
1.03002,15434
1.03502,17226
1.04002,18470
1.04502,20114
1.05002,21313
1.05502,22873
1.06002,24402
1.06502,25042
1.07002,26394
1.07502,26874
1.08002,27549
1.08502,27975
1.09002,28330
1.09502,28146
1.10002,27840
1.10502,27701
1.11002,26822
1.11502,26038
1.12002,25097
1.12502,24090
1.13002,22861
1.13502,21697
1.14002,20120
1.14502,19123
1.15002,17603
1.15502,16087
1.16002,14678
1.16502,13493
1.17002,11998
1.17502,11065
1.18002,9899
1.18502,9115
1.19002,8055
1.19502,6919
1.20002,6477
1.20502,5814
1.21002,5392
1.21502,5131
1.22002,4790
1.22502,4627
1.23002,4508
1.23502,4496
1.24002,4687
1.24502,4918
1.25002,4953
1.25502,5323
1.26002,5600
1.26502,6001
1.27002,6301
1.27502,6721
1.28002,6937
1.28502,7195
1.29002,7534
1.29502,7736
1.30002,8012
1.30502,8262
1.31002,8347
1.31502,8508
1.32002,8684
1.32502,8593
1.33002,8547
1.33502,8481
1.34002,8465
1.34502,8122
1.35002,7952
1.35502,7957
1.36002,7497
1.36502,7077
1.37002,6787
1.37502,6517
1.38002,5955
1.38502,5735
1.39002,5303
1.39502,4948
1.40002,4523
1.40502,4207
1.41002,3877
1.41502,3560
1.42002,3201
1.42502,2984
1.43002,2654
1.43502,2533
1.44002,2174
1.44502,2007
1.45002,1849
1.45502,1823
1.46002,1609
1.46502,1623
1.47002,1533
1.47502,1620
1.48002,1675
1.48502,1705
1.49002,1736
1.49502,1802
1.50002,1981
1.50502,2050
1.51002,2264
1.51502,2339
1.52002,2430
1.52502,2648
1.53002,2625
1.53502,2849
1.54002,3016
1.54502,3089
1.55002,3154
1.55502,3248
1.56002,3379
1.56502,3385
1.57002,3309
1.57502,3202
1.58002,3293
1.58502,3255
1.59002,3162
1.59502,2987
1.60002,2889
1.60502,2737
1.61002,2690
1.61502,2572
1.62002,2370
1.62502,2202
