3E-05,165249308
0.00503,209179932
0.01003,242719737
0.01503,227689093
0.02003,176671664
0.02503,116090524
0.03003,68220843
0.03503,42813663
0.04003,29066571
0.04503,22666820
0.05003,21062655
0.05503,22134848
0.06003,24024080
0.06503,26040995
0.07003,28092178
0.07503,30191327
0.08003,32330285
0.08503,34428047
0.09003,36517916
0.09503,38676961
0.10003,40810401
0.10503,42902108
0.11003,45056666
0.11503,47148932
0.12003,49317959
0.12503,51435661
0.13003,53505331
0.13503,55502330
0.14003,57660398
0.14503,59695058
0.15003,61837739
0.15503,63748995
0.16003,65776542
0.16503,67767672
0.17003,69673567
0.17503,71773711
0.18003,73661708
0.18503,75530342
0.19003,77291723
0.19503,79279681
0.20003,81064525
0.20503,82581372
0.21003,83911195
0.21503,84822468
0.22003,85323960
0.22503,85523614
0.23003,85892478
0.23503,85953356
0.24003,85871466
0.24503,86088381
0.25003,86338793
0.25503,86533941
0.26003,86798794
0.26503,86926133
0.27003,86854082
0.27503,86354996
0.28003,85920951
0.28503,84752031
0.29003,83096314
0.29503,80718082
0.30003,77657296
0.30503,73532453
0.31003,68536053
0.31503,62356180
0.32003,55286919
0.32503,47646559
0.33003,39678113
0.33503,31952416
0.34003,24729246
0.34503,18669938
0.35003,13839697
0.35503,10319830
0.36003,8058915
0.36503,6903809
0.37003,6567212
0.37503,6729334
0.38003,7131165
0.38503,7559399
0.39003,7919468
0.39503,8081877
0.40003,8039809
0.40503,7783754
0.41003,7357658
0.41503,6785395
0.42003,6099280
0.42503,5361069
0.43003,4609071
0.43503,3879926
0.44003,3184925
0.44503,2565748
0.45003,2031413
0.45503,1592017
0.46003,1243638
0.46503,992848
0.47003,821470
0.47503,727739
0.48003,696401
0.48503,713728
0.49003,764363
0.49503,838009
0.50003,923336
0.50503,1008213
0.51003,1085252
0.51503,1143523
0.52003,1187779
0.52503,1210428
0.53003,1207447
0.53503,1184377
0.54003,1141322
0.54503,1077921
0.55003,1003338
0.55503,913783
0.56003,816727
0.56503,719834
0.57003,619790
0.57503,526387
0.58003,437488
0.58503,359236
0.59003,288636
0.59503,228734
0.60003,182583
0.60503,147395
0.61003,123599
0.61503,109893
0.62003,105846
0.62503,109256
0.63003,118615
0.63503,132063
0.64003,150102
0.64503,169975
0.65003,187878
0.65503,206957
0.66003,223759
0.66503,235470
0.67003,245709
0.67503,251106
0.68003,250997
0.68503,248548
0.69003,240902
0.69503,231648
0.70003,216894
0.70503,200831
0.71003,180594
0.71503,162678
0.72003,142049
0.72503,122519
0.73003,103581
0.73503,86291
0.74003,70326
0.74503,56913
0.75003,45838
0.75503,37524
0.76003,31828
0.76503,29242
0.77003,29033
0.77503,30547
0.78003,34397
0.78503,39498
0.79003,46104
0.79503,53991
0.80003,61028
0.80503,68045
0.81003,75031
0.81503,81182
0.82003,85933
0.82503,90052
0.83003,92236
0.83503,92346
0.84003,91779
0.84503,89498
0.85003,86223
0.85503,81477
0.86003,75634
0.86503,69336
0.87003,62587
0.87503,55033
0.88003,48220
